vehicle_id,priority_rank,mark,model,generation,restyling,body_type,year_from,year_to,origin_category,vehicle_type_category,ads_count,avg_price_inflation_adj,avg_age,score_origin,score_type,score_ads,score_price,score_age,priority_score,has_real_metrics,ready_for_3d_search,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,dimensions_source_url,model_3d_status,model_3d_source,model_file_path,format,scale_check_status,materials_editable,data_quality_note
lada_granta_g1_r2_xetchbek 5 dv,52,lada,Гранта,1,2,хэтчбек 5 дв.,2018,2023,да,легковые,97837.0,405499.64464486856,5.5,1.0,1.0,0.34878381798801467,0.0034274841738933925,0.9537037037037037,0.683080447493458,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g8_r0_sedan,53,toyota,Corolla,8,0,седан,1995,2000,локализованные,легковые,255977.0,497347.80917285546,29.596774193548388,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7305854241338112,0.681825290861544,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r1_xetchbek 3 dv,54,toyota,Corolla,7,1,хэтчбек 3 дв.,1995,1997,локализованные,легковые,255977.0,497347.80917285546,30.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7268518518518519,0.681451933633348,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r1_xetchbek 5 dv,55,toyota,Corolla,7,1,хэтчбек 5 дв.,1995,1997,локализованные,легковые,255977.0,497347.80917285546,30.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7268518518518519,0.681451933633348,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r2_universal,56,toyota,Corolla,7,2,универсал,1995,1997,локализованные,легковые,255977.0,497347.80917285546,30.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7268518518518519,0.681451933633348,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r0_universal,57,toyota,Corolla,7,0,универсал,1991,2002,локализованные,легковые,255977.0,497347.80917285546,30.49418604651163,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7222760551248923,0.680994353960652,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r1_sedan,58,toyota,Corolla,7,1,седан,1993,1997,локализованные,легковые,255977.0,497347.80917285546,31.47826086956522,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7131642512077294,0.6800831735689358,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r1_universal,59,toyota,Corolla,7,1,универсал,1993,1997,локализованные,легковые,255977.0,497347.80917285546,31.666666666666668,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7114197530864197,0.6799087237568048,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_granta_g1_r1_sedan,60,lada,Гранта,1,1,седан,2014,2018,да,легковые,97837.0,405499.64464486856,10.0,1.0,1.0,0.34878381798801467,0.0034274841738933925,0.912037037037037,0.6789137808267913,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r0_liftbek,61,toyota,Corolla,7,0,лифтбек,1991,1995,локализованные,легковые,255977.0,497347.80917285546,33.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6990740740740741,0.6786741558555702,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
